Soru/Kavram,Cevap/Açıklama
"Benzetme amacı güdülmeden, bir sözcüğün başka bir sözcük yerine kullanılması olayına ne ad verilir?","Ad Aktarması (Mecazımürsel)"
"""Bir tabak daha ister misin?"" cümlesindeki anlam ilişkisi nedir?","İç - dış ilişkisi (Ad Aktarması)"
"""Can Yücel okuyorum"" diyen birinin kullandığı ad aktarması türü nedir?","Sanatçı - yapıt ilişkisi."
"""Samsun sokağa döküldü"" cümlesindeki anlam olayı nedir?","Yer - bölge (halk) ilişkisi (Ad Aktarması)"
"Tek bir sözcükle anlatılabilecek bir kavramı birden fazla sözcükle ifade etmeye ne denir?","Dolaylama"
"""Bacasız sanayi"" ifadesi hangi kavramın dolaylamasıdır?","Turizm"
"Ad aktarması ile dolaylamayı biçimsel olarak ayırt etmenin en kolay yolu nedir?","Ad aktarması genellikle tek kelimeyle, dolaylama en az iki kelimeyle yapılır."
"Bir sözün hem gerçek hem de mecaz anlama gelecek şekilde kullanılmasına ne denir?","Kinaye"
"""Diken üstünde oturmak"" deyimindeki kinayeli anlatımda asıl kastedilen nedir?","Huzursuz ve her an gitmeye hazır olma hali (mecaz anlam)."
"Kötü bir etki bırakan sözcükleri daha naif şekilde ifade etme sanatına ne ad verilir?","Güzel Adlandırma"
"""İnce hastalık"" ifadesi hangi hastalık için kullanılan bir güzel adlandırmadır?","Verem"
"İnsana ait bir özelliğin doğadaki cansız varlıklara aktarılmasına ne denir?","İnsandan Doğaya Aktarma (Kişileştirme)"
"Doğaya ait bir özelliğin insana aktarıldığı anlam olayına bir örnek veriniz.","Pişkin tavır / Olgun insan."
"""Rüzgârlar kanat çırpıyordu yeryüzüne"" cümlesindeki aktarım türü nedir?","Doğadan Doğaya Aktarma"
"Duyu organlarından birine ait özelliğin başka bir duyu organına aktarılmasına ne denir?","Duyular Arası Aktarma"
"""Keskin bakış"" ifadesinde hangi duyular arası aktarım yapılmıştır?","Dokunmadan görmeye."
"Soyut bir kavramın cümle içinde somut bir nesne gibi ifade edilmesine ne denir?","Somutlaştırma"
"""Bütün korkularımı denize attım"" cümlesindeki anlam olayı nedir?","Somutlaştırma (Korku soyutken somut bir nesne gibi düşünülmüştür)."
"Somut bir kavramı karşılayan sözcüğün cümlede soyut bir anlam yüklenmesine ne denir?","Soyutlaştırma"
"""Sende hiç kafa yok"" cümlesindeki ""kafa"" sözcüğünde hangi anlam olayı vardır?","Soyutlaştırma (Kafa somutken zekâ anlamında soyutlaşmıştır)."
"Anlatımı zenginleştirmek için sözcüklerin farklı yollarla bir araya gelip kalıplaşmasıyla oluşan yapı nedir?","İkilemeler"
"İkilemeler cümle içinde hangi görevlerde (sözcük türlerinde) kullanılabilir?","Sıfat ve zarf gibi görevlerde kullanılabilirler."
"""Ağır ağır çıkacaksın bu merdivenlerden"" dizesindeki ikilemenin oluşum yolu nedir?","Aynı sözcüğün tekrarıyla."
"İrili ufaklı, er geç, az çok gibi ikilemeler hangi yolla oluşturulmuştur?","Karşıt (zıt) anlamlı sözcüklerle."
"""Uğraşmak - didinmek"" ikilemesi hangi grupta yer alır?","Yakın anlamlı sözcüklerle oluşan ikilemeler."
"Bir eylemin veya nesnenin doğadaki sesini taklit eden ikilemelere örnek veriniz.","Gürül gürül, fıs fıs, pat pat."
"""Ünlü raketler turnuvaya katılmadı"" cümlesindeki ad aktarmasında hangi ilişki vardır?","Kullanıcı - araç (raket-tenisçi) ilişkisi."
"Hangi atasözü ""Akıl yaşta değil baştadır"" düşüncesiyle ters düşer?","Başa akıl veren yaştır."
"""Eski defterleri karıştırmak"" deyimiyle anlatılmak istenen asıl durum nedir?","Geçmiş eserleri veya olayları yeniden ele almak."
"""Köy meydanına toplanmıştı"" cümlesindeki sesteşlik (ad aktarması) özelliği hangi şıkta vardır: ""Salon ayakta alkışladı""?","Evet, yer-insan ilişkisi (Samsun sokağa döküldü örneğiyle aynı)."
"Duyu aktarımı: ""Tatlı bir gülüş"", ""Ilık bakış"", ""Soğuk söz"", ""Pişkin tavır"". Hangisinde aktarım yoktur?","Pişkin tavır (Doğadan insana aktarımdır, duyu arası değildir)."
"""Dokunmak"" sözcüğü ""Cama dokunmak"" ve ""Alnına dokunmak"" cümlelerinde hangi anlamda kullanılmıştır?","Aynı anlamda (Fiziksel temas)."
"Kör sözcüğü; bıçak, insan, sokak, ışık ve anlayış anlamlarından hangisinde mecazdır?","Kör anlayış (Dikkat ve anlayışı olmayan)."
"""Acı bir çığlık geldi evin içinden"" cümlesinde hangi duyular arası etkileşim vardır?","Tatma duyusundan duyma duyusuna aktarım."
"Sözcükler arası anlam ilişkilerinde ""usanmak - sıkılmak"" ikilisi hangi kategoriye girer?","Yakın Anlamlı Sözcükler"
"Somut anlamlı sözcüklerin beş duyu organı tanımı dışında kalan varlıkları karşılayan türü nedir?","Soyut Anlamlı Sözcükler"
"""Su hayattır"" cümlesindeki ""su"" sözcüğünün kapsayıcılık düzeyi nedir?","Genel Anlam"
"Varlıkların ölçülemeyen özelliklerini (kızgın bakış, ağır sorumluluk) bildiren sözcük türü nedir?","Nitel Anlamlı Sözcükler"
"Yansıma sözcüklerden isimden fiil türetme ekine (-la-) örnek veriniz.","Pat - la - mak"
"Ad aktarmasında ""Bir hilâl uğruna ya Rab ne güneşler batıyor"" dizesindeki ilişki nedir?","Parça - bütün ilişkisi (Hilal-Bayrak)."
"Ad aktarmasında ""TBMM yasayı henüz çıkarmamış"" cümlesindeki ilişki nedir?","Toplum - kurum - insan (milletvekilleri) ilişkisi."
"Dolaylamada ""Aptal kutusu"" hangi teknolojik aracı simgeler?","Televizyon (TV)"
"Kinayeli bir söyleyişte hem gerçek hem mecaz anlam bir arada bulunur; ancak asıl vurgu hangisidir?","Mecaz anlam."
"Ölüme ""vefat etti"" denilmesi hangi anlam olayı kapsamındadır?","Güzel Adlandırma"
"Deyim aktarmasında cansız nesneye canlı özelliği verilmesine (kişileştirme) örnek veriniz.","Serseri kaldırımlar / Susamış deniz."
"""Giderken hasretini de koydum heybeme"" cümlesinde hasretin heybeye konulabilir olması neyi gösterir?","Somutlaştırma yapıldığını."
"Somut bir kelime olan ""yol""un ""Erkeğin kalbine giden yol"" ifadesinde kazandığı yeni nitelik nedir?","Soyutlaştırma"
"İkilemelerde her iki sözcüğün de anlamsız olduğu türe örnek veriniz.","Ivır zıvır / Abur cubur."
"""Hafif ses tonu"" ifadesindeki duyu aktarımı hangi kanallar arasındadır?","Dokunmadan (hafiflik) - duymaya (ses tonu)."
