Soru/Kavram,Cevap/Açıklama
"Türkiye'nin en kuzey ve en güney paralel dereceleri kaçtır?","42° ve 36° Kuzey."
"Türkiye'nin matematik konumu gereği dağların hangi yamaçları daha çok ısınır?","Güney yamaçları (Bakı etkisi)."
"Özel bir isme yapım eki (örneğin -lı, -ce) gelirse kesme işareti kullanılır mı?","Hayır, yapım ekinden sonra gelen ekler de kesilmez."
"Boşluktan sonraki harf küçükse, o boşluğa gelmesi muhtemel işaretler nelerdir?","Virgül veya noktalı virgül."
"1924 Anayasası'na göre genel seçimler kaç yılda bir yapılmaktadır?","4 yılda bir."
"Killi arazilerde yazın çatlayan, kışın şişen ve ""dönen topraklar"" olarak bilinen tür nedir?","Vertisol."
"Fetret Devri'ni bitirerek Osmanlı tahtına tek başına oturan padişah kimdir?","Mehmet Çelebi (Çelebi Mehmet)."
"""Sosyoloğa, psikoloğa, diyaloğa"" kelimelerinde yumuşama görülmemesinin sebebi nedir?","Köklerinin g harfi ile bitmesidir."
"Akarsu biriktirme faaliyetine bağlı olarak deltalarda oluşan verimli toprak türü nedir?","Alüvyal topraklar."
"Timur'un savaşlarda başarı gösterenlere verdiği topraklara ne ad verilirdi?","Sayurgal."
"1961 Anayasası ile yasama organı hangi iki meclisten oluşturulmuştur?","Cumhuriyet Senatosu ve Millet Meclisi."
"1402 Ankara Savaşı'nda Yıldırım Beyazıt'ı esir alan hükümdar kimdir?","Timur."
"Föhn rüzgarları alçalan her 100 metrede sıcaklığı ne kadar artırır?","1°C."
"""Ediyor"" kelimesindeki ses olayının türü nedir?","Ünsüz yumuşaması (et- fiilinden gelir)."
"Marco Polo'nun 20 yıl hizmet ettiği ve seyahatnamesinde anlattığı Moğol devleti hangisidir?","Kubilay Hanlığı."
"Alıntı sözlerin başında tırnak işareti yoksa hangi noktalama işareti kullanılır?","Virgül."
"""Van Gölü"" ve ""Van kedisi"" yazımlarındaki fark nedir?","Göl (taşınamaz yer) büyük, kedi (taşınabilir tür) küçük yazılır."
"İstisna olarak iki tane ""t"" harfi yan yana gelirse hangi ses olayı kabul edilir?","Ünsüz benzeşmesi."
"""Su altı, toprak altı"" gibi yer bildiren alt/üst sözcüklerinin yazım kuralı nedir?","Somut olarak yer bildirdikleri için ayrı yazılırlar."
"Akrabalık adları hangi durumda küçük harfle yazılır?","Özel bir lakap veya unvan bildirmiyorsa."
"Türkiye'nin Kuzey Yarım Küre'de yer almasının yer çekimi üzerindeki sonucu nedir?","Kuzeye doğru gidildikçe yer çekimi artar."
"Cümle içinde şart eki (-sa, -se) kullanımından sonra hangi noktalama işareti gelmez?","Virgül."
"Cümlede sadece bir tane zarf fiil eki varsa virgül kullanılır mı?","Hayır, zarf fiilden sonra virgül gelmez."
"Türkiye'de kışın etkili olan, soğuk ve ayaz getiren termik kökenli basınç merkezi nedir?","Sibirya TYB (Termik Yüksek Basınç)."
"""Tıraş, kulüp, kılavuz, tırabzan"" kelimelerinin ortak imla özelliği nedir?","İlk iki ünsüz arasında ünlü harf bulunmasıdır."
"Türkçede olumsuzluk eki ""-ma, -me"" görüldüğünde ses bilgisi açısından neye işaret eder?","Ünlü daralması (istisnası yoktur)."
"Sosyal devlet ilkesini ilk defa kabul eden anayasa hangisidir?","1961 Anayasası."
"Türkiye'de gölge boyunun hiçbir zaman sıfır olmamasının sebebi nedir?","Dönenceler dışında yer alması."
"Ege Bölgesi'nde deniz etkisinin iç kısımlara çok sokulabilmesinin sebebi nedir?","Dağların kıyıya dik uzanması."
"Türkiye'nin Orta Kuşak'ta yer almasının kanıtı olan rüzgar türü nedir?","Batı rüzgarları."
"Fıstıkçı Şahap ünsüzlerinden ikisinin yan yana gelmesi hangi ses olayını oluşturur?","Ünsüz benzeşmesi (sertleşmesi)."
"Osmanlı kuruluşunda fetihlere katılan dervişlere verilen ad nedir?","Gazıyanırum."
"Akkoyunlu hükümdarı Uzun Hasan'ın ölümüyle devlete hangi güç son vermiştir?","Safeviler."
"Erzurum-Kars çevresinde çayırlar altında oluşan verimli ""kara toprak"" hangisidir?","Çernezyom (Chernozem)."
"Osmanlı'da 1402'den 1413'e kadar süren taht mücadeleleri dönemine ne ad verilir?","Fetret Devri."
"Osmanlı kuruluşunda Karacadağ bölgesi Kayı boyuna kim tarafından yurtluk olarak verilmiştir?","Anadolu Selçuklu Devleti."
"Atatürk ilkeleri kaç yılında anayasaya eklenmiştir?","1937."
"Türkiye'de yazın etkili olan, aşırı sıcak ve kuraklık getiren termik kökenli merkez nedir?","Basra TAB (Termik Alçak Basınç)."
"Belirsizlik bildiren ""birçok, birkaç, hiçbir, biraz"" kelimelerinin ortak yazım kuralı nedir?","Daima bitişik yazılırlar."
"""Sıcacık, minicik, küçücük"" kelimelerindeki ortak ses olayı nedir?","Ünsüz düşmesi (k harfinin düşmesi)."
"Moğol devletleri içinde Türkleşmeyen ve İslamlaşmayan tek devlet hangisidir?","Kubilay Hanlığı."
"""Garderop"" kelimesinin doğru yazımı nasıldır?","Arada ""e"" harfi bulunur (garderop)."
"Türkiye'de kuzeyden esen rüzgarların sıcaklığı düşürmesi neyin sonucudur?","Kuzey Yarım Küre'de yer almasının."
"Artvin'de föhn rüzgarları etkisiyle hangi tarım ürünü yetişmektedir?","Zeytin."
"Akkoyunlular'ın zayıflamasına neden olan 1473 tarihli savaş hangisidir?","Otlukbeli Savaşı."
"Kanunların anayasaya uygunluğunu denetlemek üzere Anayasa Mahkemesi hangi anayasa ile kurulmıştır?","1961 Anayasası."
"""Terk etti, fark etti, hak etti"" fiilleri neden ayrı yazılır?","Herhangi bir ses düşmesi veya türemesi olmadığı için."
"Osmanlı'nın Avrupa'da önemli ölçüde toprak kazanmasının durduğu 1606 tarihli antlaşma nedir?","Zitvatorok Antlaşması."
"Diyanet İşleri Başkanlığı hangi anayasada ilk kez yer almıştır?","1961 Anayasası."
"Türkiye'nin matematik konumu (koordinatları) nedir?","36° - 42° Kuzey paralelleri, 26° - 45° Doğu meridyenleri."
"Müslümanlık, Hristiyanlık, Sünnilik gibi din ve mezhep adlarının yazım kuralı nedir?","Daima büyük harfle yazılırlar."
"İkilemeler arasında bitişik yazılan tek istisna hangisidir?","Gitgide."
"Mevki, makam adları, unvanlar ve lakaplar nasıl yazılır?","Daima büyük harfle başlar."
"Türkiye'de batıdan doğuya gidildikçe sıcaklıkların düşmesinin temel sebebi nedir?","Yükselti değerlerinin artması (Göreceli konum)."
"""Sızıyor"" ve ""Yumurtluyor"" kelimelerinin kökleri nelerdir?","Sızı ve Yumurta."
"""Hava yolu, deniz yolu, kara yolu"" tamlamaları nasıl yazılır?","Daima ayrı yazılırlar."
