"Soru","A","B","C","D","E","Cevap"
"2429 sayılı Ulusal Bayram ve Genel Tatiller Hakkında Kanun'a göre; I. 30 Ağustos, II. 15 Temmuz, III. 1 Mayıs günlerinden hangileri resmî bayram günüdür?","Yalnız I","I ve II","I ve III","II ve III","I, II ve III","A"
"Burak'ın, paylaşımlarında 'Cumhuriyet'in Nitelikleri' başlığı altında topladığı bilgilerden biri olamaz?","Türkiye Cumhuriyeti demokratik bir devlettir.","Türkiye Cumhuriyeti insan haklarına saygılı bir devlettir.","Türkiye Cumhuriyeti sosyal bir devlettir.","Türkiye Cumhuriyeti kuvvetler birliğine dayalı bir devlettir.","Türkiye Cumhuriyeti laik bir devlettir.","D"
"1982 Anayasası'na göre aşağıdaki temel hak ve ödevlerden hangisi herkese değil, yalnızca Türk vatandaşlarına tanınmıştır?","Kamu hizmetlerine girme hakkı","Vergi ödevi","Sosyal güvenlik hakkı","Toplantı ve gösteri yürüyüşü düzenleme hakkı","Dernek kurma hürriyeti","A"
"1982 Anayasası'nın temel haklar ve hürriyetler sistematiği dikkate alındığında aşağıdaki haklardan hangisi, sosyal ve ekonomik alanlarda anayasal hükmün kapsamına girmez?","Sosyal güvenlik hakkı","Eğitim ve öğrenim hakkı","Mülkiyet hakkı","Konut hakkı","Çalışma hakkı","C"
"Siyasi parti üyeliği konusunda bilgi edinmek isteyen Demir, avukat olan arkadaşı Meryem'e bazı sorular yöneltiyor. Meryem ise bu soruların hepsine 'Hayır!' yanıtını veriyor. Meryem, aşağıdaki sorulardan hangisine verdiği yanıtta yanılmıştır?","Aynı anda birden fazla siyasi parti üyesi olabilir miyim?","19 yaşında lise son sınıf öğrencisiyken siyasi parti üyesi olabilir miyim?","Bir kamu kurumunda işçi statüsünde çalışırken siyasi parti üyesi olabilir miyim?","17 yaşında üniversite öğrencisiyken siyasi parti üyesi olabilir miyim?","Kamu hizmetlerinden yasaklıyken siyasi parti üyesi olabilir miyim?","C"
"1982 Anayasası'na göre temel hak ve hürriyetlerin kullanılmasının durdurulmasıyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?","Savaş, seferberlik veya olağanüstü hâller dışında temel hak ve hürriyetlerin kullanılmasının durdurulması mümkün değildir.","Temel hak ve hürriyetlerin kullanılması kısmen durdurulabilir ancak tamamen durdurulamaz.","Savaş hukukuna uygun fiiller sonucunda meydana gelen ölümler dışında kişinin yaşam hakkına dokunulamaz.","Suçluluğu mahkeme kararıyla saptanıncaya kadar kimse suçlu sayılamaz.","Temel hak ve hürriyetlerin kullanılması durdurulurken milletlerarası hukuktan doğan yükümlülükler ihlal edilemez.","B"
"Aşağıdaki gruplardan hangisinin devlet tarafından korunacağı veya korumak için gerekli tedbirlerin alınacağı 1982 Anayasası'nda ismen belirtilmemiştir?","Sanatçılar","Başarılı sporcular","İşsizler","Yargı mensupları","Yaşlılar","D"
"1982 Anayasası'na göre, aşağıdakilerden hangisi milletvekili seçilebilme şartlarından biri değildir?","Türk vatandaşı olmak","Kısıtlı olmamak","Kamu hizmetlerinden yasaklı olmamak","Yükümlü olduğu askerlik hizmetini yapmış olmak","On sekiz yaşını doldurmuş olmak","D"
"1982 Anayasası'na göre bakanlar hakkında, görevleriyle ilgili bir suç işledikleri iddiasıyla Yüce Divana sevk kararı alma yetkisi aşağıdakilerden hangisine aittir?","Cumhurbaşkanı","Türkiye Büyük Millet Meclisi","Anayasa Mahkemesi","Yargıtay Cumhuriyet Başsavcılığı","Yargıtay Ceza Genel Kurulu","B"
"1982 Anayasası'na göre milletlerarası antlaşmaların onaylanmasını uygun bulma görev ve yetkisi aşağıdakilerden hangisine aittir?","Anayasa Mahkemesi","Millî Güvenlik Kurulu","Türkiye Büyük Millet Meclisi","Dışişleri Bakanlığı","Adalet Bakanlığı","C"
"1982 Anayasası'na göre savaş sebebiyle yeni seçimlerin yapılmasına imkân görülmediği takdirde seçimlerin bir yıl geriye bırakılmasına, aşağıdakilerin hangisi tarafından karar verilir?","Yüksek Seçim Kurulu","İçişleri Bakanlığı","Cumhurbaşkanı","Millî Güvenlik Kurulu","Türkiye Büyük Millet Meclisi","E"
"Aşağıdakilerin hangisi Türkiye Büyük Millet Meclisi komisyonlarından biri değildir?","Maliye Komisyonu","Çevre Komisyonu","Anayasa Komisyonu","Adalet Komisyonu","Dışişleri Komisyonu","A"
"Türkiye Büyük Millet Meclisi Başkanlığına bağlı olarak kurulan ve idarenin işleyişiyle ilgili şikâyetleri inceleyip önerilerde bulunmakla görevli merci, aşağıdakilerden hangisidir?","Devlet Denetleme Kurulu","Kamu Denetçiliği Kurumu","Danıştay","Yüksek Hakem Kurulu","Sayıştay","B"
"1982 Anayasası'na göre aşağıdakilerden hangisi Anayasa değişikliğine ilişkin kanun teklifinde bulunabilir?","200 milletvekili","Cumhurbaşkanı","Anayasa Mahkemesi","100.000 seçmen","Adalet Bakanı","A"
"Fatih, Murat'a 'İdare organları her ne kadar disiplin cezası verebilse de bu kararların yargı denetimi istisnasının olup olmadığını' soruyor. Murat'ın bahsettiği bu istisnalar aşağıdakilerden hangisi için tanınmıştır?","Spor federasyonları","Millî İstihbarat Teşkilatı","Yargı organları","Silahlı Kuvvetler","Türkiye Büyük Millet Meclisi","D"
"1982 Anayasası'na göre Millî Güvenlik Kurulunun gündemi, ilgililerin önerileri dikkate alınarak aşağıdakilerin hangisi tarafından düzenlenir?","İçişleri bakanı","Genelkurmay başkanı","Millî savunma bakanı","Cumhurbaşkanı","Millî Güvenlik Kurulu Genel Sekreterliği","D"
"1982 Anayasası'na göre, aşağıdakilerden hangisi cumhurbaşkanının görev ve yetkilerinden biri değildir?","Gerekli gördüğü takdirde, yasama yılının ilk günü TBMM'de açılış konuşmasını yapmak","Millî güvenlik politikalarını belirlemek ve gerekli tedbirleri almak","Milletlerarası antlaşmaları onaylamak ve yayımlamak","Kanunların Anayasa'ya şekil veya esas bakımından aykırılığı gerekçesiyle iptal davası açmak","Genel af ilan edilmesine karar vermek","E"
"Türkiye Büyük Millet Meclisinde kabul edilen bir çevre kanunu aşağıdakilerin hangisi tarafından Resmî Gazete'de yayımlanır?","Bilgi Teknolojileri ve İletişim Kurumu","Cumhurbaşkanı","Türkiye Büyük Millet Meclisi","Çevre, Şehircilik ve İklim Değişikliği Bakanlığı","İçişleri Bakanlığı","B"
"Yürütme yetki ve görevinin, I. Cumhurbaşkanı, II. Cumhurbaşkanı yardımcıları, III. Bakanlar arasından Anayasa'ya ve kanunlara uygun olarak kullanılacağı 1982 Anayasası'nda açıkça belirtilmiştir?","Yalnız I","I ve II","I ve III","II ve III","I, II ve III","A"
"Cumhurbaşkanı ve milletvekilleri, göreve başlarken TBMM'de andiçerler. Aşağıdaki ifadelerden hangisi andiçme sırasında Cumhurbaşkanı tarafından kullanılırken milletvekilleri tarafından kullanılmaz?","Türkiye Cumhuriyeti'nin şan ve şerefini","Milletin kayıtsız ve şartsız egemenliğini","Vatanın ve milletin bölünmez bütünlüğünü","Devletin varlığı ve bağımsızlığını","Millî dayanışma ve adalet anlayışı içinde","A"
"1982 Anayasası'na göre idarenin; hukuka uygunluğunun, düzenli ve verimli şekilde yürütülmesinin sağlanması amacıyla Cumhurbaşkanlığına bağlı kurulan merci aşağıdakilerden hangisidir?","Kamu Denetçiliği Kurumu","Sayıştay","Adalet Bakanlığı","Strateji ve Bütçe Başkanlığı","Devlet Denetleme Kurulu","E"
"1982 Anayasası'na göre, aşağıdaki yüksek mahkemelerden hangisinin üyelerinin tamamı Hâkimler ve Savcılar Yüksek Kurulu tarafından seçilir?","Yargıtay","Danıştay","Askerî Yargıtay","Askerî Yüksek İdare Mahkemesi","Uyuşmazlık Mahkemesi","A"
"Askerî Yüksek İdare Mahkemesi, hukukumuzda ilk defa aşağıdakilerden hangisi ile kurulmuştur?","1921 Anayasası","1924 Anayasası","1961 Anayasası'nda 1971 yılında yapılan anayasa değişikliği","1982 Anayasası'nın ilk hâli","1982 Anayasası'nda 2004 yılında yapılan anayasa değişikliği","C"
"1982 Anayasası'na göre, merkezî yönetim bütçesi kapsamındaki idarelerin bütün gelir ve giderleri ile mallarını TBMM adına denetleme ve sorumluların hesap ve işlemlerini kesin hükme bağlama görevi hangisine aittir?","Devlet Denetleme Kurulu","Anayasa Mahkemesi","İçişleri Bakanlığı","Sayıştay","Danıştay","D"
"1982 Anayasası'na göre bireysel başvuruları karara bağlamak aşağıdakilerden hangisinin görev ve yetkileri arasındadır?","Anayasa Mahkemesi","Kamu Denetçiliği Kurumu","Devlet Denetleme Kurulu","Türkiye Büyük Millet Meclisi","Cumhurbaşkanlığı","A"
"Aşağıdakilerden hangisi Türk yargı örgütündeki mahkemelerden biri değildir?","İflas mahkemeleri","Asliye ticaret mahkemeleri","Sulh hukuk mahkemeleri","Vergi mahkemeleri","Bölge idare mahkemeleri","A"
"Adalet bakanı, aşağıdakilerden hangisinin başkanıdır?","Hâkimler ve Savcılar Kurulu","Türkiye Büyük Millet Meclisi Adalet Komisyonu","Yüksek Seçim Kurulu","Türkiye Büyük Millet Meclisi Anayasa Komisyonu","Devlet Denetleme Kurulu","A"
"I. İstinaf, II. Temyiz, III. İlk itiraz / Yukarıdakilerin hangileri hukuk yargılamasında, üst derece veya yüksek mahkemede başvurulabilecek kanun yolları arasında yer alır?","Yalnız I","Yalnız II","I ve II","I ve III","II ve III","C"
"Mahkemelerin verdiği kararların kesinleşmeden önce denetlenmesini sağlamak amacıyla üst veya yüksek mahkemeye yapılan başvuru, aşağıdakilerin hangisiyle adlandırılır?","Tahkim","Kanun yolu","Delil tespiti","Ön inceleme","Islah","B"
"Suç işlendiği izlenimi veren hâlin öğrenilmesiyle harekete geçerek soruşturma işlemlerini yürüten ve kamu davası açan kamu görevlisi, aşağıdakilerden hangisidir?","Müdafi","Müşteki","Cumhuriyet savcısı","Ağır ceza mahkemesi başkanı","Sulh ceza hâkimi","C"
"Aşağıdakilerin hangisi, adli yargı mercilerinden biri değildir?","Aile mahkemesi","İcra mahkemesi","Kadastro mahkemesi","Sulh hukuk mahkemesi","Vergi mahkemesi","E"
"Elif; vergi mahkemesinde görülmekte olan davasına uygulanacak kanun hükmünün, Anayasa'ya aykırı olduğu iddiasıyla iptalini istiyor. Bu durum aşağıdakilerden hangisiyle adlandırılır?","Yürütmenin durdurulması","Somut norm denetimi","Kanun yolu","Bireysel başvuru","Tam yargı davası","B"
"Danıştay'ın bir kararında '...aynı idare içerisindeki görevliler arasındaki astlık-üstlük durumunu ifade etmekte olup... astın yerine geçerek karar alamaz' ifadesiyle vurguladığı idare hukuku kavramı hangisidir?","Hizmet","Kadro","Kariyer","Hiyerarşi","Liyakat","D"
"Bir çekişmede tarafların, Devletin yargı organına başvurmak yerine aralarındaki hukuki sorunun hakemler eliyle çözümüne ne ad verilir?","Uzlaştırma","Tahkim","Arabuluculuk","Konkordato","Kovuşturma","B"
"Devlet kamu hizmetleri görevlerine girmek, sınıflar içerisinde ilerlemek ve yükselmek açısından bireylerin bilgi ve yeteneklerini esas alan temel ilke aşağıdakilerden hangisidir?","Derecelendirme","Kademelendirme","Sınıflandırma","Kariyer","Liyakat","E"
"Türk idare hukukuna göre belediyenin organları aşağıdakilerden hangisidir?","Belediye meclisi - Belediye encümeni - Belediye başkanı","Belediye meclisi - Genel sekreterlik - Belediye başkanı","İlçe idare kurulu - Genel sekreterlik - Belediye başkanı","Kaymakamlık - Genel sekreterlik - Belediye başkanı","Genel sekreterlik - Belediye meclisi - Belediye encümeni","A"
"Aşağıdakilerden hangisi 657 sayılı Devlet Memurları Kanunu'nda düzenlenen disiplin cezalarından biri değildir?","Yer değiştirme","Aylıktan kesme","Kademe ilerlemesinin durdurulması","Devlet memurluğundan çıkarma","Uyarma","A"
"Türk idare hukukuna göre Devlet Denetleme Kurulu aşağıdakilerden hangisine bağlı olarak çalışır?","Millî Güvenlik Kurulu","Cumhurbaşkanlığı","Türkiye Büyük Millet Meclisi Başkanlığı","Kamu Düzeni ve Güvenliği Müsteşarlığı","Bakanlar Kurulu","B"
"Türk idare hukukunda il özel idaresinin başı ve il özel idaresi tüzel kişiliğinin temsilcisi aşağıdakilerden hangisidir?","Vali","İl genel meclisi başkanı","Belediye başkanı","İl encümeni","İlde kaymakamların en yaşlısı","A"
"Memurların, amirlerinin vermiş olduğu emirleri yerine getirme zorunluluğunun istisnası 1982 Anayasası'nda hangi başlık altında düzenlenmiştir?","Merkezî idare","Kanunsuz emir","İdarenin bütünlüğü ve kamu tüzel kişiliği","Suç ve cezalara ilişkin esaslar","Yargı yolu","B"
"5393 sayılı Belediye Kanunu'na göre; I. İlçe merkezlerinde belediye kurulması zorunludur. II. Köylerde belediye kurulması zorunludur. III. Nüfusu 5.000 ve üzerinde olan yerleşim birimlerinde belediye kurulabilir. (Hangileri doğrudur?)","Yalnız I","I ve II","I ve III","II ve III","I, II ve III","C"
"657 sayılı Devlet Memurları Kanunu'na göre aşağıdakilerden hangisi memurluğu sona erdiren nedenlerden biri değildir?","Memurluktan çekilme","Ölüm","Memurluktan çıkarılma","Görevden uzaklaştırma","Emeklilik","D"
"I. Cumhurbaşkanı, II. Bakanlıklar, III. Kamu tüzel kişileri. 1982 Anayasası'na göre yukarıdakilerden hangileri yönetmelik çıkarabilir?","Yalnız I","Yalnız III","I ve II","II ve III","I, II ve III","E"
"442 sayılı Köy Kanunu'na göre nüfusu en fazla kaça kadar olan yurtlara köy denir?","500","1.000","1.500","2.000","2.500","D"
"657 sayılı Devlet Memurları Kanunu'na göre, aşağıdakilerden hangisi devlet memurlarına verilecek disiplin cezalarından biridir?","İdari para cezası","Aylıktan kesme","Disiplin hapsi","İdari tedbir","Görevden uzaklaştırma","B"
"Aşağıdakilerden hangisinin seçiminde, siyasi partilerden aday olunamaz?","Belde belediye başkanlığı","İl genel meclisi üyeliği","Büyükşehir ilçe belediye meclis üyeliği","Mahalle muhtarlığı ve ihtiyar heyeti üyeliği","İl belediye başkanlığı","D"
"Türkiye'de bazı şehirlerde belediye otobüsleriyle, belirli hatlarda 24 saat sefer yapılarak toplu taşıma hizmeti sunuluyor. Bu durum hangi ilkeyle ilişkilidir?","Tarafsızlık","Meccanilik","Süreklilik","Eşitlik","Uyarlama","C"
"657 sayılı Devlet Memurları Kanunu'na göre aday olarak atanmış devlet memurunun, asgari ve azami adaylık süresiyle ilgili hangisi doğrudur?","6 ay - 1 yıl","6 ay - 2 yıl","1 yıl - 2 yıl","1 yıl - 3 yıl","2 yıl - 3 yıl","C"
"İl genel meclisi, aşağıdakilerden hangisinin karar organıdır?","İl genel idaresi","İl özel idaresi","İl idare kurulu","İl idare şube başkanlıkları","İl müdürlükleri","B"
"Nüfus koşulunu sağlayan bir il belediyesi, aşağıdakilerin hangisiyle büyükşehir belediyesine dönüştürülebilir?","Cumhurbaşkanı kararıyla","Kanunla","İçişleri Bakanlığı kararıyla","İl idare kurulu kararıyla","Yönetmelikle","B"
"Gülce, 21 yıldır Sağlık Bakanlığında memur olarak çalışmaktadır. Gülce'nin yıllık izin süresi, kural olarak kaç gündür?","20","25","30","32","40","C"
"İdari bir tasarruf, ancak bunu yapan organ tarafından kaldırılır yahut değiştirilir. / İdari işlemlerin geri alınmasının ancak işlemi tesis eden makam tarafından... Danıştay bu ifadelerle idare hukukunun hangi ilkesini vurgulamaktadır?","Yetkide paralellik","Usul saptırması","Fait du prince","Yetki tecavüzü","Sebep ikamesi","A"
"Göreviyle ilgili bir suç işlediği iddiasıyla belediye meclisi üyesi A hakkında soruşturma açılıyor. A'yı görevinden uzaklaştırabilme yetkisi kime aittir?","Cumhurbaşkanı","Danıştay başkanı","Adalet bakanı","İçişleri bakanı","Belediye başkanı","D"
"Danıştay bir kararında 'Merkeze ait olan karar alma yetkisinin illerde valiler tarafından kullanılması... sonuçta merkezî idarenin ortaya çıkardığı sorunların kısmen de olsa giderilmesini amaçlamaktadır.' diyerek hangi kavramı vurgulamıştır?","Yetki genişliği","Usulde paralellik","Yerinden yönetim","Takdir yetkisi","İdari vesayet","A"
"657 sayılı Kanun'a göre 'aylıktan kesme' cezası alan bir memurun, cezanın uygulanmasından başlayarak en az kaç yıl sonra silinmesini isteyebilir?","1","3","5","8","10","E"
"657 sayılı Kanun'a göre devlet memurlarına, yaptıkları hizmetler için lüzumlu bilgilere ve yetişme şartlarına uygun şekilde sınıfları içinde en yüksek derecelere kadar ilerleme imkânının sağlanmasını ifade eden temel ilke hangisidir?","Liyakat","Kariyer","Sınıflandırma","Rekabet","İltimas","B"
"Ortalama 4.900 metre rakımıyla Dünyanın en yüksek bölgesi olan ve 'Dünya'nın Çatısı' olarak adlandırılan ülke aşağıdakilerden hangisidir?","Hindistan","Tibet","Çin","Afganistan","Nepal","B"
"'Evrenin merkezinin Dünya değil, Güneş olduğu' tezini geri çekmediği için engizisyon mahkemesi tarafından hapse mahkûm edilen bilim insanı kimdir?","Nicolaus Copernicus","Johannes Kepler","Isaac Newton","Galileo Galilei","Leonardo da Vinci","D"
"8 Mart 2014 tarihinde Malezya'nın başkenti Kuala Lumpur'dan havalandıktan sonra içindeki 227 yolcu ve 12 mürettebatla kaybolan uçak hangi şehre gitmekteydi?","Manila","Seul","Bangkok","Tokyo","Pekin","E"
"26 Nisan 2015 tarihinde yapılan seçimde Nursultan Nazarbayev'in %97'nin üzerinde oyla yeniden devlet başkanı seçildiği ülke hangisidir?","Tacikistan","Kazakistan","Türkmenistan","Özbekistan","Kırgızistan","B"
"Bilim adamlarının 'Kızıl Gezegen' olarak isimlendirdiği ve Dünya'dan yaklaşık iki kat daha küçük olan gezegen aşağıdakilerden hangisidir?","Neptün","Merkür","Venüs","Mars","Jüpiter","D"
"Aşağıdakilerden hangisi Yaşar Kemal'in eserlerinden biri değildir?","İnce Memed","Yer Demir Gök Bakır","Ağrı Dağı Efsanesi","Esir Şehrin İnsanları","Yılanı Öldürseler","D"
"Bir kayanın üzerine oturmuş, elini çenesine dayamış ve derin düşüncelere dalmış bir erkek figürünün tasvir edildiği 'Düşünen Adam' heykeli kime aittir?","Michelangelo","Pablo Picasso","Leonardo da Vinci","Auguste Rodin","Frederic Auguste Bartholdi","D"
"Dünya tıp tarihinde önemli bir yere sahip olan, El-Kanun fi't-Tıb adlı eseri yazan ve Batı dünyasında 'Avicenna' olarak bilinen İslam bilgini kimdir?","Farabi","El-Biruni","El-Cezerî","İbni Sina","İbni Haldun","D"
"Her yıl adına ödül verilen Türkiye'nin ilk Müslüman Türk kadın tiyatro oyuncusu aşağıdakilerden hangisidir?","Afife Jale","Cahide Sonku","Neyyire Neyyir","Keriman Halis","Adile Naşit","A"
