Soru/Kavram,Cevap/Açıklama
"Dünyanın yuvarlak olduğunu dolaşarak ispatlayan kaşifler kimlerdir?","Macellan ve Del Kano"
"Rönesans'ın ortaya çıktığı ilk ülke hangisidir?","İtalya"
"Rönesans döneminde sanattan zevk alan ve sanatçıları koruyan sınıfa ne ad verilir?","Mesen"
"Protestan Reformu hareketini resmen başlatan isim kimdir?","Martin Luther"
"Fransa'da Kalvenizm mezhebinin serbest bırakılmasını sağlayan ferman nedir?","Nantes Fermanı"
"1648 yılında Otuz Yıl Savaşlarını bitiren ve Avrupa'da modern devletler hukukunun temeli sayılan antlaşma nedir?","Vestfalya Antlaşması"
"Güneş merkezli evren sistemini ispatlayan Aydınlanma Çağı bilim insanı kimdir?","Kopernik"
"1789 Fransız İhtilali sonucunda yayılan en etkili siyasi fikir hangisidir?","Milliyetçilik"
"Orta Asya'da kurulan ilk büyük Türk-İslam devleti hangisidir?","Karahanlı Devleti"
"Karahanlılar hangi hükümdar döneminde İslamiyet'i kabul etmiştir?","Saltuk Buğra Han"
"""Türk-İslam edebiyatının ilk yazılı örneği olan ""Kutadgu Bilig""in yazarı kimdir?","Yusuf Has Hacip"
"Kaşgarlı Mahmut tarafından yazılan ilk Türkçe ansiklopedik sözlük nedir?","Divan-ı Lugati't Türk"
"Gazneli Devleti'nde bağımsızlığı kazandıran ve gerçek kurucu kabul edilen hükümdar kimdir?","Sebük Tigin"
"""Abbasi halifesi tarafından ""Sultan"" unvanı verilen ilk Türk hükümdarı kimdir?","Gazneli Mahmut"
"Büyük Selçuklu Devleti'nin gerçek kurucusu kabul edilen hükümdar kimdir?","Tuğrul Bey"
"1048 yılında Bizans ile yapılan ilk savaş ve kazanılan ilk zafer hangisidir?","Pasinler Savaşı"
"1071 yılında Anadolu'nun kapılarını Türklere açan savaş hangisidir?","Malazgirt Savaşı"
"Malazgirt Savaşı'ndan sonra Anadolu'nun fethini hızlandırmak için komutanlara verilen hakka ne denir?","Kılıç Hakkı"
"Büyük Selçuklu Devleti'ne en parlak dönemini yaşatan hükümdar kimdir?","Melikşah"
"Mısır'da kurulan ilk Türk-İslam devleti hangisidir?","Tolunoğulları"
"Kabe'nin bulunduğu Hicaz bölgesine egemen olan ilk Türk devleti hangisidir?","İhşidler (Akşitler)"
"Hangi savaş sonucunda Moğollar tarihte ilk kez yenilgiye uğratılmıştır?","Ayn Calud Savaşı"
"Moğol İmparatorluğu'nu kuran hükümdar kimdir?","Cengiz Han (Timuçin)"
"""Türkçenin Farsça kadar zengin bir dil olduğunu kanıtlamak için ""Muhakemetü'l Lügateyn""i yazan kişi kimdir?","Ali Şir Nevai"
"İlk Türk İslam devletlerinde vezirlere Karahanlılarda ne ad verilirdi?","Yuğruş"
"Devletin mali işlerinden sorumlu olan divan hangisidir?","Divan-ı İstifa"
"Hükümdarın eyaletlere gönderilen çocuklarına devlet tecrübesi kazandıran kişilere ne denir?","Atabey"
"Müslümanlardan alınan ürün vergisine ne ad verilir?","Öşür"
"Gayrimüslim erkeklerden askere gitmemeleri karşılığında alınan vergi nedir?","Cizye"
"Türk-İslam sanatında Arap harfleriyle güzel yazı yazma sanatına ne ad verilir?","Hat"
"Büyük Selçuklu döneminde kurulan ve dünyanın ilk üniversitelerinden sayılan eğitim kurumu hangisidir?","Nizamiye Medresesi"
"Anadolu'da kurulan ilk Türk beyliği hangisidir?","Saltuklular"
"UNESCO korumasında olan Divriği Ulu Camii ve Darüşşifası hangi beylik dönemine aittir?","Mengücekliler"
"Anadolu'da ilk kez para bastıran Türk beyliği hangisidir?","Danişmentliler"
"Sibernetiğin kurucusu sayılan El-Cezeri hangi beylik döneminde yaşamıştır?","Artuklular"
"Tarihte ilk Türk denizcisi olarak kabul edilen bey kimdir?","Çaka Bey"
"Türkiye Selçuklu Devleti'nin kurucusu kimdir?","Süleyman Şah"
"1176 yılında Bizans'ı yenerek Anadolu'nun kesin olarak Türk yurdu olduğunu ispatlayan savaş hangisidir?","Miryokefalon Savaşı"
"Türkiye Selçuklu Devleti'nin en güçlü olduğu dönem hangi hükümdar zamanıdır?","I. Alaeddin Keykubad"
"1243 yılında Türkiye Selçuklularının Moğollara yenilerek dağılma sürecine girdiği savaş nedir?","Kösedağ Savaşı"
"""Halk arasında ""Köse Peygamber"" lakabıyla bilinen Eretna Devleti hükümdarı kimdir?","Alaeddin Eretna"
"Kur'an-ı Kerim'i ilk kez Türkçeye çeviren Türk devleti hangisidir?","Akkoyunlular"
"İslamiyet öncesi Türklerde mezar üzerine dikilen yazılı anıtlara ne denir?","Bengütaş"
"Hükümet işlerinin görüşüldüğü divana Karahanlılarda ne ad verilirdi?","Ayuki"
"Eski Türklerde devletin başına geçen kişilere verilen unvanlardan biri hangisidir?","Hakan"
"Malazgirt Savaşı hangi tarihte gerçekleşmiştir?","1071"
"Anadolu Selçuklu Devleti'nin ilk merkezi neresidir?","İznik"
"""Bizans kaynaklarında Anadolu için ""Turkia"" ifadesi ilk kez hangi dönemde kullanılmıştır?","I. Mesut Dönemi"
"Eyyubilere son vererek Mısır'da kendi devletini kuran Türk komutan kimdir?","Aybeg"
"İlk Türk-İslam kervansaraylarına ne ad verilir?","Ribat"
"Gayrimüslimlerden alınan ürün vergisine ne denir?","Haraç"
"Ordunun ihtiyaçlarıyla ilgilenen divan başkanına ne denir?","Emir-i Arz"
"Hükümdarın temizlik işlerinden sorumlu saray görevlisi kimdir?","Abdar"
"Hükümdarın yemeklerinden sorumlu saray görevlisi kimdir?","Emir-i Çeşnigir"
"Hükümdarın kıyafetlerinden sorumlu saray görevlisi kimdir?","Camedar"
"""İslamiyet öncesi Türklerde ""kamu hukuku"" niteliğindeki kurallara ne denir?","Töre"
"Hükümdarın av işlerini düzenleyen görevli kimdir?","Emir-i Şikar"
"Uygurların başkenti neresidir?","Ordubalıg (Karabalgasun)"
"Semerkant şehri tarih boyunca hangi unvanla anılmıştır?","Şehirlerin Şahı"
"Manihaizm dininin etkisiyle yerleşik hayata geçen ilk Türk devleti hangisidir?","Uygurlar"
