Soru/Kavram,Cevap/Açıklama
"Gün içinde güneş ışınlarının en büyük açıyla geldiği saat kaçtır?","Saat 12.00'dir ancak günün en sıcak saati ısı birikiminden dolayı 13.00-14.00 arasıdır."
"Türkiye'yi kış mevsiminde etkileyen soğuk basınç merkezi hangisidir?","Sibirya Termik Yüksek Basıncı kış mevsiminde kuru soğuğa neden olur."
"Yaz mevsiminde sıcaklık ve kuraklığı artıran basınç sistemi hangisidir?","Basra Termik Alçak Basıncı ve Asor Dinamik Yüksek Basıncıdır."
"Föhn rüzgarları nedir?","Bir yamacı aşan, alçalan sıcak ve kuru rüzgarlardır, mikroklima alanları oluştururlar."
"Kahverengi ve kestane renkli bozkır toprakları en çok hangi faaliyete uygundur?","Tahıl tarımı ve küçükbaş hayvancılık için uygundur."
"Erzurum-Kars çevresinde oluşan kara topraklara ne ad verilir?","Çernozyum toprakları denir, organik madde yönünden zengindir."
"Dış kuvvetlerin etkisiyle yamaçlardan aşağı süpürülen topraklara ne denir?","Kolüvyal topraklar denir."
"Türkiye'de buzul aşınım şekillerinden 'Sirk Buzulu' nerede görülür?","Kalıcı kar sınırının üzerindeki çukurlarda yüksek dağların zirvesinde görülür."
"Boyuna kıyı tipinin özellikleri nelerdir?","Dağların kıyıya paralel uzandığı, kıta sahanlığının dar olduğu Karadeniz ve Akdeniz kıyılarında görülür."
"Ege kıyılarında hangi kıyı tipi görülür?","Dağların kıyıya dik uzanması sonucu oluşan enine kıyı tipi görülür."
"Türkiye'de en çok çığ felaketi nerede yaşanır?","Doğu Anadolu Bölgesi'nde, özellikle Bitlis ve Hakkari yöresinde yaşanır."
"Havzalarına göre Marmara Bölgesindeki akarsuların akış yönü nasıldır?","Genellikle doğu-batı yönlü akarlar."
"Büyük Hun (Asya Hun) Devleti'nin bilinen ilk hükümdarı kimdir?","Teoman'dır."
"Asya Hun Devleti en geniş sınırlarına kimin döneminde ulaşmıştır?","Mete Han döneminde ulaşmıştır."
"Kavimler Göçü'nün sonuçlarından biri nedir?","Batı Roma İmparatorluğu yıkılmış, Avrupa'da feodalite ortaya çıkmış ve İlk Çağ sona erip Orta Çağ başlamıştır."
"Avrupa Hunlarının en parlak dönemi kiminle başlar?","Attila ile başlamıştır."
"Balkanlar'da ve Avrupa'da iki asırdan fazla kalan ve Slavları ordu düzeninde etkileyen kimlerdir?","Avarlar'dır."
"Tarihte Museviliği benimseyen ilk ve tek Türk Devleti hangisidir?","Hazarlar'dır."
"Dünyanın en uzun destanı olan Manas Destanı kime aittir?","Kırgızlara aittir."
"İslamiyeti kabul eden ilk Türk topluluğu hangisidir?","Karluklardır."
"İslam öncesi Türklerde devlete ne ad verilirdi?","İl adı verilirdi."
"Uygurlar döneminde kullanılan ilk kağıt paranın adı nedir?","Çav'dır."
"İslamiyet öncesi Türk devletlerinde hükümdarın erkek çocuklarına ne denirdi?","Tigin denirdi."
"Rönesans hareketleri ilk olarak nerede başlamıştır?","İtalya'da başlamıştır."
"Avrupa'da Reform hareketini kim başlatmıştır?","Martin Luther, 1517'de Wittenberg kilisesinin kapısına 95 maddelik bildiri asarak başlatmıştır."
"Otuz Yıl Savaşları'nı bitiren antlaşmanın adı nedir?","Vestfalya Antlaşması'dır."
"Dünya'nın güneş etrafında döndüğünü ispatlayan bilim adamı kimdir?","Kopernik'tir."
"Orta Asya'da kurulan ilk büyük Türk-İslam Devleti hangisidir?","Karahanlı Devleti'dir."
"Karahanlılar döneminde yazılan ilk Türkçe ansiklopedik sözlük nedir?","Kaşgarlı Mahmut tarafından yazılan Divan-ı Lugati't Türk'tür."
"Harzemşahlar Devleti'nin yıkılış sürecine girdiği savaş hangisidir?","1230 yılındaki Yassı Çemen Savaşı'dır."
"Mısır'da kurulan ilk Türk-İslam devleti hangisidir?","Tolunoğulları'dır."
"Anadolu Selçuklu Devleti'ne en parlak dönemini yaşatan hükümdar kimdir?","I. Alaeddin Keykubad'dır."
"Kur'an-ı Kerim'i ilk kez Türkçe'ye çeviren Türk devleti hangisidir?","Akkoyunlular Devleti'dir."
"İlk Türk-İslam Devletlerinde hükümdarın çocuklarına devlet tecrübesini aktaranlara ne ad verilirdi?","Atabey denirdi."
"İlk Türk-İslam Devletlerinde ticari hayatı düzenleyen görevli kimdir?","Muhtesip'tir."
"Anadolu Selçuklularında esnafların oluşturduğu mesleki eğitim kuruluşunun adı nedir?","Ahilik teşkilatıdır."
"Büyük Selçuklular tarafından ilk kez uygulanan piramit çatılı anıt mezarlara ne denir?","Kümbet denir."
"Bimarhane ne amaçla kurulmuştur?","Akıl ve sinir hastalıklarının tedavisi için Karahanlılar tarafından kurulmuştur."
"Diyarbakır Mesudiye ve Mardin Hatuniye Medreseleri kime aittir?","Artuklular'a aittir."
"Osmanlı Devleti hangi boya mensuptur?","Oğuzların Bozok kolunun Kayı boyuna mensuptur."
"İlk kez Osmanlı parası bastıran ve ilk vergiyi uygulayan padişah kimdir?","Osman Gazi'dir."
"Anadolu Türk siyasi birliği ilk kez büyük ölçüde kimin döneminde sağlandı?","Yıldırım Beyazıt döneminde sağlanmıştır."
"Osmanlı Padişahı II. Murat tahtı neden kendi isteğiyle bırakmıştır?","Osmanlı tarihinde ilk ve tek defa kendi isteğiyle tahtı bırakarak oğlu II. Mehmet'e devretmiştir."
"Fatih Sultan Mehmet'in İstanbul'un fethinde döktürdüğü dev topların adı nedir?","Şahi denilen toplardır."
"Osmanlıların Karadeniz'i bir Türk gölü haline getirdiği fetih neresidir?","1475 Kırım'ın Fethi'dir."
"Osmanlı tarihinde kazandıkları ilk açık deniz savaşı hangisidir?","Venediklilere karşı kazanılan Sapienza Deniz Savaşı'dır (1499)."
"Yavuz Sultan Selim döneminde Memlüklerle yapılan savaşlar hangileridir?","1516 Mercidabık ve 1517 Ridaniye Savaşları'dır."
"Avrupa'da 'Muhteşem', doğuda 'Kanuni' olarak bilinen Osmanlı padişahı kimdir?","I. Süleyman (Kanuni Sultan Süleyman)."
"Lale Devri'nde kurulan ilk Türk matbaasında basılan ilk eser nedir?","Vankulu Lugatı'dır."
"Osmanlı İmparatorluğu ile Rusya arasındaki ilk barış antlaşması hangisidir?","1724 İstanbul Antlaşması'dır."
"Nizam-ı Cedit ordusunun masraflarını karşılamak için oluşturulan hazine nedir?","İrad-ı Cedit hazinesidir."
"İlk resmi gazete olan Takvim-i Vakayı hangi padişah döneminde çıkarılmıştır?","II. Mahmut döneminde çıkarılmıştır."
"Osmanlı padişahının yetkilerini ilk kez sınırlandıran belge hangisidir?","II. Mahmut ile Ayanlar arasında imzalanan Sened-i İttifak'tır."
"Avrupalılarca Mavi Cami olarak bilinen eserin mimarı kimdir?","Sultan Ahmet Camii'nin mimarı Sedefkâr Mehmet Ağa'dır."
"İlk kez pasaport zorunluluğu hangi padişah döneminde getirilmiştir?","II. Mahmut döneminde getirilmiştir."
"1841 Boğazlar Sözleşmesi'nin önemi nedir?","Boğazlar ilk kez uluslararası statü kazanmış, Osmanlı tek taraflı hakimiyetini kaybetmiştir."
"Türk tarihinin ilk yazılı anayasası nedir?","II. Abdülhamit döneminde ilan edilen 1876 Kanunuesasi'dir."
"I. Dünya Savaşı sonrasında itilaf devletleri Musul'u hangi antlaşmayla işgal etti?","Mondros Ateşkes Antlaşması'nın 7. Maddesine dayanarak işgal ettiler."
"Kurtuluş Savaşı'nda düşman ordularına karşı kurulan direniş ruhuna ne denir?","Kuvayımilliye (Milli Kuvvetler) denir."
"I. TBMM döneminde çıkarılan ve dış gümrük vergilerini artıran, israfı önleyen kanunlar nelerdir?","Ağnam Vergisi, Men'i İsrafat, Hıyanet-i Vataniye gibi kanunlardır."
"İtilaf Devletleri'nin TBMM'nin varlığını resmen tanıdığı ilk gelişme nedir?","1921 Londra Konferansı'dır."
"Lozan Barış Antlaşması'nda Türkiye aleyhine çözülen konulardan bazıları nelerdir?","Adalar, Boğazlar, Hatay ve Patrikhane'dir."
"Türkiye Cumhuriyeti'nin ilk muhalefet partisi hangisidir?","Terakkiperver Cumhuriyet Fırkası'dır (1924)."
"Kadınlara milletvekili seçme ve seçilme hakkı ne zaman verilmiştir?","5 Aralık 1934 tarihinde verilmiştir."
"Türk Dil Kurumu ne zaman açılmıştır?","12 Temmuz 1932'de açılmıştır."
"II. Dünya Savaşı yıllarında ekonomiyi dengelemek için çıkarılan karne nedir?","Ekmek Karnesi çıkarılmıştır (1942)."
"Köy Enstitüleri hangi tarihte kimlerin önderliğinde açılmıştır?","17 Nisan 1940'ta Hasan Ali Yücel ve İsmail Hakkı Tonguç önderliğinde açılmıştır."
"Cumhuriyet tarihinde ilk defa tek dereceli seçim ne zaman yapılmıştır?","1946 Genel Seçimleri'nde yapılmıştır."
"Harika Çocuk Yasası ile yurt dışına gönderilen ünlü isimlerden bazıları kimlerdir?","İdil Biret, Suna Kan, Gülsin Onay gibi isimlerdir."
"Demokrat Parti hangi seçimlerde iktidara gelmiştir?","1950 seçimlerinde 27 yıllık tek parti dönemini sona erdirerek gelmiştir."
"Balkan Paktı hangi devletler arasında imzalanmıştır?","1954 yılında Yugoslavya, Yunanistan ve Türkiye arasında imzalanmıştır."
"Soğuk Savaş döneminde Ping-Pong Diplomasisi hangi ülkeleri yakınlaştırmıştır?","ABD ve Çin'i yakınlaştıran bir süreçtir."
"Avrupa Birliği'ne giden süreçte 1951 yılında kurulan topluluk nedir?","Avrupa Kömür ve Çelik Topluluğu'dur (Paris Antlaşması)."
"Avrupa Ekonomik Topluluğu'nu Avrupa Birliği'ne dönüştüren antlaşma hangisidir?","1992 Maastricht Antlaşması'dır."
"Türkiye ile AB arasında Gümrük Birliği ne zaman imzalandı?","1 Ocak 1996 tarihinde imzalandı."
"Türkçede 'Ayak altı' ve 'Yer elması' kelimeleri nasıl yazılır?","Ayrı yazılır."
"Türkçede 'Bilinçaltı', 'Uyurgezer' ve 'Mirasyedi' kelimeleri nasıl yazılır?","Bitişik yazılır."
"Büyük harflerin kullanımı kuralına göre 'İlk Çağ' nasıl yazılır?","Tarihi dönem, çağ ve olay adları büyük harfle başlar: İlk Çağ."
"Parça-bütün ilişkisi gösteren mecazımürsele örnek nedir?","'Bir hilâl uğruna ya Rab ne güneşler batıyor.' cümlesinde hilâl ile bayrak kastedilmiştir."
"Sanatçı-yapıt ilişkisi gösteren mecazımürsele örnek nedir?","'Bugünlerde, Can Yücel okuyorum.' cümlesinde sanatçı adı verilip yapıtı kastedilmiştir."
"'Hangi', 'Kaç', 'Kaçıncı' kelimeleri ismin önüne geldiğinde ne olur?","Soru sıfatı olurlar (Örn: Hangi yıl, Kaç kişi)."
"'Uzun boylu adam' tamlamasında 'uzun boylu' ifadesinin sıfat türü nedir?","Kurallı Birleşik Sıfat'tır."
"'Orada ne kadar kaldılar?' cümlesindeki altı çizili kelimenin türü nedir?","Soru zarfıdır."
"'Seni görmek için gelmiş.' cümlesinde 'için' sözcüğünün türü nedir?","Edattır."
"'Kediler ve köpekler birbirini sevmez.' cümlesinde 've' sözcüğünün türü nedir?","Bağlaçtır."
"Bağımlı sıralı cümle nedir?","Öge ortaklığı bulunan sıralı cümlelerdir."
"Sözel mantık sorularında iki bilinmeyenli tablo nasıl kurulur?","Tablonun üst kısmına isimler değil, branşlar/günler gibi unsurlar yazılarak kurulur."
"Paragraf sorularında bir cümlenin giriş cümlesi olabilmesi için ne gerekir?","Kendinden önceki bir cümleye bağlanma ifadeleri (de, bu vb.) içermemesi ve bağımsız bir yargı bildirmesi gerekir."
"1921 Anayasası'nda 1923 yılında yapılan değişiklikle devletin dini ve dili hakkında ne eklenmiştir?","'Devletin dini İslam'dır' ve 'Devletin dili Türkçedir' ibareleri eklenmiştir."
"1924 Anayasası'nda devletin şeklinin Cumhuriyet olması maddesinin değiştirilmesi durumu nedir?","Bu hükmün değiştirilmesi yasaklanmıştır (katı bir anayasadır)."
"Hangi anayasa ile ikili anayasa dönemi (1921 ve 1876'nın birlikte kullanılması) sona ermiştir?","1924 Anayasası ile sona ermiştir."
"Kuvvetler birliği ve görevler ayrılığı ilkesini benimseyen anayasa hangisidir?","1924 Anayasası'dır (Meclis hükumeti ile parlamenter sistem karması)."
"Türk anayasa tarihinde kanunların yasama organı tarafından yorumlanması (yasama yorumu) hangi anayasada vardır?","Sadece 1924 Anayasası'nda vardır."
"Çoğunlukçu demokrasi anlayışını hangi anayasa benimsemiştir?","1924 Anayasası benimsemiştir."
"Çoğulcu demokrasi anlayışını hangi anayasa benimsemiştir?","1961 Anayasası benimsemiştir."
"Atatürk'ün Altı Ok ilkesi anayasaya ne zaman girmiştir?","1937 Anayasa değişikliği ile girmiştir."
"Türk siyasi hayatında kadınlar yerel yönetim seçimlerine hangi sırayla katılmıştır?","Belediye (1930), Muhtarlık (1933) ve Milletvekilliği (1934)."
"Gizli oy ve açık sayım döküm esası ilk defa hangi seçimlerde uygulandı?","1950 seçimlerinde uygulandı."
"Türk tarihinde referandum (halk oylaması) ile kabul edilen ilk anayasa hangisidir?","1961 Anayasası'dır."
"1961 Anayasası'nda yasama organı nasıldır?","Çift meclislidir: Cumhuriyet Senatosu ve Millet Meclisi."
"Sosyal devlet ilkesini ilk defa kabul eden anayasa hangisidir?","1961 Anayasası'dır."
"Kanunların anayasaya uygunluğunu denetleyecek olan Anayasa Mahkemesi ne zaman kuruldu?","1961 Anayasası ile kuruldu."
"Üniversitelere ve TRT'ye özerklik veren anayasa hangisidir?","1961 Anayasası'dır."
"1950'de kurulan Yüksek Seçim Kurulu anayasada ilk kez ne zaman yer aldı?","1961 Anayasası'nda yer aldı."
"Devlet Planlama Teşkilatı (DPT) ilk kez hangi anayasada düzenlenmiştir?","1961 Anayasası'nda düzenlenmiştir."
"Türkiye'de en uzun gündüz hangi mevsimde ve ayda yaşanır?","Yaz mevsiminde, 21 Haziran'da yaşanır."
"Doğu Karadeniz, Batı Karadeniz ve Antalya bölümlerinde mikroklima özelliklerin görülme sebebi nedir?","Yer şekillerinin engebeli ve denize kıyısı olan dağlık alanlar olması sebebiyle kısa mesafede sıcaklık/bitki örtüsü değişiminin fazla olmasıdır."
"Avrupa'da aydın ve sanattan zevk alan sınıfa ne ad verilirdi?","Mesen sınıfı denirdi."
"İkinci Viyana Kuşatması'nı gerçekleştiren Osmanlı sadrazamı kimdir?","Merzifonlu Kara Mustafa Paşa'dır."
"Tanzimat Fermanı'nın okunmasıyla başlayan döneme ne ad verilir?","Tanzimat Dönemi (Gülhane Hatt-ı Şerif-î) denir."
"1838 Baltalimanı Antlaşması'nın Osmanlı ekonomisine etkisi ne olmuştur?","Osmanlı sanayisine darbe vurmuş ve devleti diğer ülkelere borçlanmaya açık hale getirerek mali çöküntüyü hızlandırmıştır."
"Kırım Savaşı (1853-1856) sonunda imzalanan ve Osmanlı'yı Avrupa devleti sayan antlaşma nedir?","Paris Antlaşması'dır."
"İstiklal Marşı hangi meclis döneminde kabul edilmiştir?","I. TBMM döneminde kabul edilmiştir."
"Cumhurbaşkanının TBMM içinden bir seçim dönemi için seçileceği kuralı ne zaman getirildi?","1923 Anayasa Değişiklikleri ile getirilmiştir."
"Türkiye'nin matematik konumunda boylam dereceleri nelerdir?","26°-45° Doğu meridyenleri arasındadır."
"Gölge yönü Türkiye'de öğle vakti daima hangi yönü gösterir?","Daima kuzeyi gösterir."
"Aynı enlem üzerindeki merkezlerde yer çekimi kuvveti nasıldır?","Eşittir (aynıdır)."
"Asya, Avrupa ve Afrika kıtalarının birbirine en çok yaklaştığı yerde bulunması Türkiye'nin hangi konumunun sonucudur?","Göreceli (Özel) konumunun sonucudur."
"Türkiye'de yerel saati en ileri olan il hangisidir?","45° Doğu boylamında yer alan Iğdır'dır."
"Mevsimlerin belirgin yaşanmasının sebebi nedir?","Eksen eğikliği (23° 27') ve orta kuşakta yer almasıdır."
"1915 Olayları, Türkiye'yi doğrudan ilgilendiren bir sorun mudur?","Ermeni sorunu olarak dolaylı/doğrudan tartışılan uluslararası bir gündemdir."
"Ege kıyılarında denizel etkinin iç kısımlara girebilmesinin nedeni nedir?","Dağların kıyıya dik uzanmasıdır (Enine kıyı tipi)."
"Türkiye arazisinin yarıdan fazlası kaç metrenin üzerindedir?","1000 metreden fazladır."
"Türkiye'de buzul etkisinin en çok görüldüğü bölge hangisidir?","Doğu Anadolu Bölgesi'dir."
"Yükseltinin ve eğimin fazla olduğu alanlarda neyin maliyeti artar?","Yol yapım maliyeti artar."
"Erzurum-Kars çevresinde bulunan kara toprakların hayvancılığa etkisi nedir?","Çayırların yavaş parçalanmasıyla oluşan Çernozyum toprakları büyükbaş hayvancılık için çok önemlidir."
"Halojen (tuzlu) topraklar nerede görülür?","Drenaj koşullarının iyi olmadığı, kurak bölgelerde taban suyunun buharlaşmasıyla oluşur."
"Akarsu aşındırması ve biriktirmesi sonucu oluşan tarım alanları nelerdir?","Deltalar ve taşkın ovalarındaki alüvyal topraklardır."
"Sanayi ve Maadin Bankası ne zaman kurulmuştur?","1925 yılında kurulmuştur."
"İlk şeker fabrikası hangisidir?","Alpullu Şeker Fabrikası'dır (1926)."
"İlk özel fabrika olarak açılan şeker fabrikası hangisidir?","Uşak Şeker Fabrikası'dır (1926)."
"Kabotaj Kanunu hangi yıl çıkarılmıştır?","1926 yılında denizlerde bağımsızlık için çıkarılmıştır."
"Türk Tarih Kurumu ne zaman kurulmuştur?","15 Nisan 1931 tarihinde kurulmuştur."
"İlk sivil teyyare okulu kim tarafından açılmıştır?","Vecihi Hürkuş tarafından açılmıştır (1932)."
"İlk kadın savaş pilotu kimdir?","Sabiha Gökçen'dir (1936)."
"Demokrat Parti'nin kurulmasına öncülük eden Dörtlü Takrir'i kimler vermiştir?","Adnan Menderes, Celal Bayar, Refik Koraltan ve Fuat Köprülü vermiştir."
"Varlık Vergisi Kanunu ne amaçla çıkarılmıştır?","II. Dünya Savaşı yıllarında ekonomiyi kontrol etmek ve piyasayı düzenlemek amacıyla çıkarılmıştır."
"Tevhid-i Tedrisat Kanunu hangi tarihte kabul edilmiştir?","3 Mart 1924 tarihinde eğitimde birliği sağlamak için kabul edilmiştir."
"Mustafa Kemal Atatürk'ün naaşı Anıtkabir'e ne zaman taşınmıştır?","1953 yılında Demokrat Parti döneminde taşınmıştır."
"Divan-ı İnşa nedir?","Büyük Selçuklularda devletin iç ve dış yazışmalarıyla ilgilenen divandır."
"İlk Türk-İslam devletlerinde ordu komutanlarına ne ad verilirdi?","Emirü'l-Ümera denirdi."
"Divan-ı Mezalim nedir?","Büyük davaların bakıldığı, başkanı hükümdar olan yüksek mahkemedir."
"Selçuklu devletinde müslümanlardan alınan ürün vergisine ne denir?","Öşür denir."
"Selçuklu devletinde gayr-i müslimlerden alınan ürün vergisi nedir?","Haraç denir."
"Malazgirt Savaşı sonrası Sultan Alp Arslan komutanlarına ne hakkı vermiştir?","Anadolu'nun fethini hızlandırmak için 'Kılıç Hakkı' vermiştir."
"Pasarofça Antlaşması'nın önemi nedir?","Osmanlı'nın Batı'da Lale Devri'ne girmesine yol açan 1718 antlaşmasıdır."
"Aynalıkavak Tenkihnamesi nedir?","Osmanlı'nın, Kırım'ın bağımsızlığını yeniden onayladığı 1779 tarihli antlaşmadır."
"Tarihte SSCB'nin parçalanmasını başlatan 'Perestroika' ve 'Glasnost' akımlarını kim başlattı?","Mihail Gorbaçov başlatmıştır (1985)."
"1989'da 'Kadife Devrimi' ile demokrasiye geçen ülke hangisidir?","Çekoslovakya'dır."
"Türkiye'de ilk anayasa mahkemesi hangi anayasa ile gelmiştir?","1961 Anayasası ile."
"Mecazımürsel (Ad aktarması) nedir?","Bir sözcüğün benzetme amacı güdülmeden başka bir sözcük yerine kullanılmasıdır."
"Kurallı birleşik sıfat yapmanın bir yolu nedir?","Sıfat tamlamasının sonuna '-lı, -li' eki getirilerek oluşturulur."
"Toprak Mahsulleri Vergisi Kanunu neden çıkarıldı?","II. Dünya Savaşı sırasında tarım gelirlerini vergilendirmek için (1944)."
"Sened-i İttifak kimler arasında imzalandı?","II. Mahmut ve Ayanlar arasında imzalandı (1808)."
"Yeniçeri Ocağı'nın kaldırılması olayına ne ad verilir?","Vakayı Hayriye (Hayırlı Olay) adı verilir."
"Kırım Savaşı sırasında Osmanlı'nın müttefikleri kimlerdi?","İngiltere, Fransa ve Piyemonte (İtalya) idi."
"Balkan Savaşları sırasında Osmanlı'dan ayrılarak bağımsızlık kazanan son balkan devleti hangisidir?","Arnavutluk'tur."
"Trablusgarp Savaşı sonunda imzalanan antlaşma nedir?","1912 Uşi Antlaşması'dır."
"Mustafa Kemal Atatürk'ün Başkomutan sıfatıyla çıktığı ilk savaş hangisidir?","Büyük Taarruz (1922)."
"Lozan Barış Konferansına TBMM'yi temsilen kim katıldı?","İsmet Paşa katılmıştır."
"İstiklal Madalyasını ilk alan yer neresidir?","İnebolu (1924)."
"Yarı başkanlık sisteminin en tipik örneği hangi ülkedir?","Fransa'dır."
"Siyasi partiler ilk kez hangi anayasada düzenlenmiştir?","1961 Anayasası'nda düzenlenmiştir."
"İlk Türk İslam devletlerinde Kapan nedir?","Tek cins malın toptan satıldığı ticaret merkezleridir."
"Osmanlı İmparatorluğu'nda fetret devri hangi savaştan sonra başlamıştır?","1402 Ankara Savaşı'ndan sonra başlamıştır."
"Fetret devrine son vererek devleti ikinci kez kuran padişah kimdir?","I. Mehmet (Çelebi Mehmet)'tir."
"Mudanya Ateşkes Antlaşmasına TBMM adına kim katılmıştır?","İsmet Paşa katılmıştır."
"Osmanlı Devleti'ni hukuken sona erdiren antlaşma hangisidir?","Mudanya Ateşkes Antlaşması'dır."
"Türk Medeni Kanunu hangi ülkenin kanunları örnek alınarak hazırlanmıştır?","İsviçre Medeni Kanunu örnek alınarak hazırlanmıştır (1926)."
"Ceza Kanunu hangi ülkeden alınmıştır?","İtalya'dan alınmıştır (1926)."
"Avrupa İnsan Hakları Mahkemesi'ne (AİHM) bireysel başvuru hakkını Türkiye ne zaman tanımıştır?","1987 yılında tanımıştır."
"1961 Anayasası ile getirilen Yüksek Hakimler Kurulu'nun amacı nedir?","Hakimlik teminatını sağlamak ve mahkemelerin bağımsızlığını korumaktır."
"1946'da Türkiye Cumhuriyeti'nde ilk defa ne yaşandı?","Çok partili sisteme geçiş sağlandı."
"Köyden kente yoğun göç Türkiye'de en çok hangi dönemde ivme kazanmıştır?","1950'li yıllardan sonra tarımda makineleşmenin artmasıyla."
"Orta Çağ Avrupasında halkın soylulara bağlı olarak yaşadığı toprak sistemine ne ad verilirdi?","Feodalite (Derebeylik) sistemi denirdi."
"İzmir İktisat Kongresi (1923) başkanı kimdir?","Kazım Karabekir'dir."
