Soru/Kavram,Cevap/Açıklama
"Türkiye fiziki haritasında kahverengi tonlarının geniş yer tutmasının sebebi nedir?","Ortalama yükseltinin fazla olması (1132 m)."
"Zonguldak taş kömürü yatakları hangi jeolojik dönemde oluşmuştur?","I. Jeolojik Zaman (Paleozoik)."
"İstanbul ve Çanakkale Boğazları hangi jeolojik dönemde oluşmuştur?","IV. Jeolojik Zaman (Kuaterner)."
"Türkiye'deki zengin linyit, bor ve tuz yatakları hangi dönemde oluşmuştur?","III. Jeolojik Zaman (Tersiyer)."
"Eski jeolojik dönemlerde oluşmuş sert ve dayanıklı kara kütlelerine ne ad verilir?","Masif arazi."
"Menteşe, Yıldız Dağları ve Kırşehir masifleri hangi jeolojik zamanda oluşmuştur?","I. Jeolojik Zaman (Paleozoik)."
"Alp-Himalaya kıvrım sistemi ve büyük fay kuşakları Türkiye'de hangi dönemde belirginleşmiştir?","III. Jeolojik Zaman (Tersiyer)."
"Kuzey kutbu üzerinde yer alan ve Türkiye'den enlemi kadar açıyla görülen yıldız hangisidir?","Kutup Yıldızı (Polaris)."
"Bir yerin deniz seviyesinden yüksekliğine ne ad verilir?","Yükselti."
"Yükselti arttıkça yol yapım maliyetleri nasıl etkilenir?","Artar."
"Türkiye'de gerçek alan ile iz düşüm alan farkının en az olduğu bölge türü nedir?","Yer şekillerinin sade olduğu ovalık bölgeler."
"Kuzey Yarım Küre'de 21 Haziran - 23 Eylül arası gündüz süreleri için ne söylenebilir?","Geceden uzundur ancak her geçen gün kısalmaktadır."
"Ekvator'dan kutuplara doğru gidildikçe çizgisel hızın azalmasının sebebi nedir?","Dünya'nın küresel şekli."
"Yaz aylarında Türkiye'de kuzeye gidildikçe gündüz süresi _____?","Uzar."
"Türkiye'nin jeopolitik önemini artıran 'stratejik boğazlar' hangileridir?","İstanbul ve Çanakkale boğazları."
"Bölge sınırları zamanla _____?","Değişebilir."
"Toprak meskenler veya ahşap meskenler ne tür bölge sınıflandırmasına girer?","Mesken yapı özelliklerine göre beşerî bölgeler."
"Türkiye'nin en yeni kara sınırı hangi ilin ana vatana katılmasıyla çizilmiştir?","Hatay (Suriye sınırı)."
"Bir merkezin başlangıç meridyenine uzaklığına bağlı olarak hesaplanan zamana _____ denir.","Yerel Saat"
"Hazar Gölü havzasının Türkiye için jeopolitik önemi nedir?","Zengin petrol ve doğalgaz rezervlerinin dünya piyasasına sunulmasında geçiş noktası olması."
"Güneş ışınlarının düşme açısının kutuplara doğru daralması neyin sonucudur?","Enlem (veya Dünya'nın şekli)."
"Türkiye'de dağların kuzey yamaçlarında deniz etkisinin görülmesi hangi konumla açıklanır?","Özel (Göreceli) Konum."
"Iğdır ve İzmir illeri arasında yaklaşık _____ dakikalık bir yerel saat farkı vardır.","76 (19 boylam x 4 dakika)."
